rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1529675497618052005,,0,,1529675496,635744094,"""23""","""BAC""",29.3150005341,"""2018-06-22""","""As of  9","""06",0.0250000003725,0.0900000035763,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6325615.0,68098520.0,2.97236987904e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0,nan,nan,nan,nan,''
1529675556492657899,,0,,1529675555,466372966,"""24""","""BAC""",29.2950000763,"""2018-06-22""","""As of  9","""06",0.00499999988824,0.019999999553,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6439635.0,68098520.0,2.97033990144e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,16.9899997711,nan,nan,nan,nan,''
1529675615301824092,,0,,1529675614,283788919,"""25""","""BAC""",29.2999992371,"""2018-06-22""","""As of  9","""06",0.0,0.019999999553,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6516029.0,68098520.0,2.97033990144e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,16.9899997711,nan,nan,nan,nan,''
1529675675994339942,,0,,1529675673,115552902,"""26""","""BAC""",29.3470001221,"""2018-06-22""","""As of  9","""06",0.0570000000298,0.189999997616,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6771436.0,68098520.0,2.97560997888e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0200004578,nan,nan,nan,nan,''
1529675733652257919,,0,,1529675731,933362960,"""27""","""BAC""",29.3700008392,"""2018-06-22""","""As of  9","""06",0.0799999982119,0.270000010729,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,6901177.0,68098520.0,2.97794011136e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529675793568325996,,0,,1529675790,761909961,"""28""","""BAC""",29.3689994812,"""2018-06-22""","""As of  9","""06",0.0790000036359,0.270000010729,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,7057166.0,68098520.0,2.97783984128e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529675852400995016,,0,,1529675849,585370063,"""29""","""BAC""",29.3600006104,"""2018-06-22""","""As of  9","""06",0.070000000298,0.239999994636,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,7251015.0,68098520.0,2.97692987392e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0300006866,nan,nan,nan,nan,''
1529675911935337066,,0,,1529675908,408147096,"""30""","""BAC""",29.375,"""2018-06-22""","""As of  9","""06",0.0850000008941,0.289999991655,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,7462926.0,68098520.0,2.97844998144e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529675969947386980,,0,,1529675967,225063085,"""31""","""BAC""",29.3799991608,"""2018-06-22""","""As of  9","""06",0.0900000035763,0.310000002384,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,7611418.0,68098520.0,2.97895985152e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529676026803075075,,0,,1529676026,41563034,"""32""","""BAC""",29.3649997711,"""2018-06-22""","""As of  10","""07",0.0750000029802,0.259999990463,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,7765340.0,68098520.0,2.9774299136e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0300006866,nan,nan,nan,nan,''
1529676085643522977,,0,,1529676084,881434917,"""33""","""BAC""",29.3899993896,"""2018-06-22""","""As of  10","""07",0.0900000035763,0.319999992847,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,7963973.0,68098520.0,2.9794598912e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0400009155,nan,nan,nan,nan,''
1529676146572684049,,0,,1529676143,699898004,"""34""","""BAC""",29.3999996185,"""2018-06-22""","""As of  10","""07",0.109999999404,0.379999995232,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,8135483.0,68098520.0,2.98097999872e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0499992371,nan,nan,nan,nan,''
1529676205508336067,,0,,1529676202,518376111,"""35""","""BAC""",29.4200000763,"""2018-06-22""","""As of  10","""07",0.129999995232,0.439999997616,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,8346028.0,68098520.0,2.98291003392e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0599994659,nan,nan,nan,nan,''
1529676264108810901,,0,,1529676261,347553014,"""36""","""BAC""",29.4099998474,"""2018-06-22""","""As of  10","""07",0.109999999404,0.389999985695,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,8552407.0,68098520.0,2.9814898688e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0599994659,nan,nan,nan,nan,''
1529676321092055082,,0,,1529676320,173191070,"""37""","""BAC""",29.4050006866,"""2018-06-22""","""As of  10","""07",0.115000002086,0.389999985695,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,8598451.0,68098520.0,2.9814898688e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0599994659,nan,nan,nan,nan,''
1529676381710722923,,0,,1529676378,997934103,"""38""","""BAC""",29.4349994659,"""2018-06-22""","""As of  10","""07",0.144999995828,0.5,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,8902907.0,68098520.0,2.98453008384e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0699996948,nan,nan,nan,nan,''
1529676438455189943,,0,,1529676437,817890882,"""39""","""BAC""",29.4554004669,"""2018-06-22""","""As of  10","""07",0.165399998426,0.560000002384,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,9450579.0,68098520.0,2.9866000384e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0900001526,nan,nan,nan,nan,''
1529676497352484941,,0,,1529676496,645755052,"""40""","""BAC""",29.4850006104,"""2018-06-22""","""As of  10","""07",0.194999992847,0.670000016689,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,9779611.0,68098520.0,2.9895999488e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1000003815,nan,nan,nan,nan,''
1529676556368263959,,0,,1529676555,469317913,"""41""","""BAC""",29.4899997711,"""2018-06-22""","""As of  10","""07",0.20000000298,0.680000007153,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.4899997711,22.7299995422,33.0499992371,10077529.0,68098520.0,2.99011014656e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1100006104,nan,nan,nan,nan,''
1529676615044012069,,0,,1529676614,292850971,"""42""","""BAC""",29.4990005493,"""2018-06-22""","""As of  10","""07",0.209000006318,0.709999978542,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5,22.7299995422,33.0499992371,10301433.0,68098520.0,2.99102011392e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1100006104,nan,nan,nan,nan,''
